,0
795,"Let me tell you something. You need to stayin a child's place, all right?"
796,"Spare me the street knowledge, grandpa."
797,Nobody asked you.
798,"Look, just because I fucked your motherdon't make me your grandpa, all right?"
799,"- That's enough. That's enough. Stop, all right?"
800,- You got me fucked up.
801,- Old ass.
802,- Stand down! Let's go.
803,- You better go on.
804,- Let's go.
805,- I will knock your ass clean the fuck out.
806,- Knock me out. Hit me.
807,"What am I, a nursery school teacher? Come on, let's go!"
808,- Shit. I got time today.
809,- Cool down. Cool down. Keep walking.
810,"- Excuse me, sir."
811,"- Go ahead, man."
812,- Do you guys want a...?
813,"- No, go. Just go ahead somewhere."
814,What?
815,"What, quitter?"
816,This is some sad shit.
817,- Where the hell is your ride?
818,- Girls took it to the spa.
819,You all right?
820,I'm fine. You all right?
821,Never felt better.
822,"I mean, you could,if you wanted to,just do the speed limit."
823,You let a Prius pass us.
824,"And what is that? What, you gotyour balls tucked up in there?"
825,Hey. You know what? Neither one of my ballswanna be here with your stupid ass.
826,You brought Little Marcuson a murder investigation?
827,We're dropping him at the spa.
828,Dropping him off at the spa?
829,Carver is scared.
830,"He is not gonna wait, man."
831,"It's on the way, Mike."
832,And what's the person that shot me wantwith a snitch like Carver Remy anyway?
833,"I'm taking you to find out,motherfucker."
834,"Sorry about that, Little Marcus."
835,Pop-pop shouldn't beswearing like that.
836,"Only when you're dealingwith people like Mike Lowrey,you got no fucking choice."
837,Sorry. There I go again.
838,- Take the baby in.
839,- I ain't going in there.
840,Then you ain't gonna find outwho tried to kill you.
841,"See, if I go in there, I knowwho's gonna kill me. Theresa Burnett."
842,- Stop fucking around. Take your baby. Go ahead in there.
843,"- Mike, Carver's scared."
844,He ain't gonna wait all day.
845,All right.
846,All right.
847,No. Mike! Mike!
848,Tell Marcus I'm gonna kill him!
849,"Go, go!"
850,"- Go, go, go!"
851,- What'd she do? What'd you do?
852,"- Is she coming? She coming? Oh, shit!"
853,"- Go, go, go!"
854,"Mike, you known Theresa a long time."
855,How pissed would you say she was?
856,What you mean?
857,"Like, one to 10?"
858,"- Yeah, 10 being..."
859,- Like when I broke up with your sister?
860,No. That was me at a 10.
861,- Why would you bring that up?
862,- All right. I'm just trying to...
863,"No, a Theresa 10 would be..."
864,Me that time you spilledthe Frappuccino in my Ferrari.
865,"- Yeah, yeah, that's it. That's it."
866,"- She's probably like a nine, then."
867,"- A nine? Oh, sh..."
868,"- Yeah, man."
869,"Oh, shit."
870,Better make it a 10.
871,- Forgot to give her the baby wipes.
872,"- Oh, tragedy."
873,Are you stopping?
874,"Dude, that was a yellow light."
875,We are in a hurry.
876,Come on...
877,"Oh, what? You embarrassedto be seen like this?"
878,We got Mike Lowrey here!
879,Mike Lowrey in a Nissan Quest!
880,"Nobody gives a shit, Mike."
881,He's... He's my Uber driver!
882,A big part of fighting crimeis being ahead of the criminals.
883,You don't have to stop for pigeons.
884,You just drive up to them. They'll fly away.
885,That better be a safe...or a piano.
886,- This is my wife's car!
887,- And that's fucking Carver Remy!
888,You don't know that's Carver Remy.
889,That could be anybody.
890,- Cover the front door!
891,- I'm retired!
892,I'm a civilian!
893,This is a sign.
894,It's a sign from God.
895,"Oh, shoot."
896,She knows.
897,She always knows.
898,I need 315 at the Broadmoor Hotel.
899,Fuck!
900,"God, I know I asked youto help Mike out before...but he's really gettinghis ass whupped."
901,"Lord, give me a sign."
902,What the hell are you doing?
903,Mike!
904,Shit!
905,You okay?
906,I'm better than you gonna bewhen Theresa see this car.
907,I had him.
908,I had him right there.
909,"I don't understand, Mama."
910,<i>Armando...</i>
911,A bullet is mercy for this son of a bitchwho took your father from me.
912,<i>He needs to suffer.</i>
913,<i>Then he dies.</i>
914,<i>You understand?</i>
915,Yes.
916,Pass it! Pass it! Thattagirl!
917,"Thattagirl, Callie!"
918,Make them wanna play soccer!
919,"You're done, Mike."
920,"Yeah, I know."
